exit_authority,count,wins,losses,win_rate_pct,gross_profit,gross_loss,net,profit_factor,average_realized_r,average_peak_r,average_giveback_from_peak_r,count_with_floor_armed,count_with_floor_violation,average_hold_time,largest_win,largest_loss,scope
BROKER_SL,24,0,24,0.0,0,-24362.99,-24362.99,0.0,-1.011239,0.119329,1.130568,0,0,DATA_UNAVAILABLE_FOR_SOME_ENTRIES,-679.25,-1507.9,120-POSITION PARTIAL REPEAT
PROFIT_CLOSE,66,66,0,100.0,13100.66,0,13100.66,INF,0.208914,0.336843,0.12793,9,1,DATA_UNAVAILABLE_FOR_SOME_ENTRIES,928.76,1.52,120-POSITION PARTIAL REPEAT
SL_MOD:PRIMARY_EXIT_FLOOR,29,29,0,100.0,10397.74,0,10397.74,INF,0.406086,0.515848,0.109763,27,12,DATA_UNAVAILABLE_FOR_SOME_ENTRIES,712.8,2.45,120-POSITION PARTIAL REPEAT
WEEKEND_CLOSE,1,0,1,0.0,0,-347.13,-347.13,0.0,-0.285236,0.187298,0.472534,0,0,DATA_UNAVAILABLE_FOR_SOME_ENTRIES,-347.13,-347.13,120-POSITION PARTIAL REPEAT
