period,dimension,value,trades,avg_realized_r,avg_peak_r_while_open,trades_with_5m_data,historical_data_unavailable_5m,avg_total_favorable_r_5m,avg_missed_r_5m,median_missed_r_5m,total_missed_r_5m,avg_max_adverse_r_5m,returned_to_entry_count_5m,crossed_original_sl_count_5m,clean_continuation_count_5m,immediate_reversal_count_5m,trades_with_10m_data,historical_data_unavailable_10m,avg_total_favorable_r_10m,avg_missed_r_10m,median_missed_r_10m,total_missed_r_10m,avg_max_adverse_r_10m,returned_to_entry_count_10m,crossed_original_sl_count_10m,clean_continuation_count_10m,immediate_reversal_count_10m,trades_with_15m_data,historical_data_unavailable_15m,avg_total_favorable_r_15m,avg_missed_r_15m,median_missed_r_15m,total_missed_r_15m,avg_max_adverse_r_15m,returned_to_entry_count_15m,crossed_original_sl_count_15m,clean_continuation_count_15m,immediate_reversal_count_15m,trades_with_20m_data,historical_data_unavailable_20m,avg_total_favorable_r_20m,avg_missed_r_20m,median_missed_r_20m,total_missed_r_20m,avg_max_adverse_r_20m,returned_to_entry_count_20m,crossed_original_sl_count_20m,clean_continuation_count_20m,immediate_reversal_count_20m,trades_with_30m_data,historical_data_unavailable_30m,avg_total_favorable_r_30m,avg_missed_r_30m,median_missed_r_30m,total_missed_r_30m,avg_max_adverse_r_30m,returned_to_entry_count_30m,crossed_original_sl_count_30m,clean_continuation_count_30m,immediate_reversal_count_30m,trades_with_60m_data,historical_data_unavailable_60m,avg_total_favorable_r_60m,avg_missed_r_60m,median_missed_r_60m,total_missed_r_60m,avg_max_adverse_r_60m,returned_to_entry_count_60m,crossed_original_sl_count_60m,clean_continuation_count_60m,immediate_reversal_count_60m
FULL_30_DAYS,entry_regime,BRKT_DN,2,-0.347033,0.337246,2,0,-0.296065,0.050968,0.050968,0.101937,0.374232,2,1,0,2,2,0,-0.269151,0.077883,0.077883,0.155766,0.464067,2,1,0,2,2,0,-0.2569,0.090134,0.090134,0.180268,0.488838,2,1,0,2,2,0,-0.243906,0.103127,0.103127,0.206254,0.585609,2,1,0,2,2,0,-0.243906,0.103127,0.103127,0.206254,0.759665,2,2,0,2,2,0,-0.243906,0.103127,0.103127,0.206254,0.84917,2,2,0,2
FULL_30_DAYS,entry_regime,BRKT_UP,1,-1.010054,0.29741,1,0,-0.998221,0.011834,0.011834,0.011834,0.147422,1,1,0,1,1,0,-0.998221,0.011834,0.011834,0.011834,0.191763,1,1,0,1,1,0,-0.998221,0.011834,0.011834,0.011834,0.248793,1,1,0,1,1,0,-0.998221,0.011834,0.011834,0.011834,0.272745,1,1,0,1,1,0,-0.998221,0.011834,0.011834,0.011834,0.511843,1,1,0,1,1,0,-0.998221,0.011834,0.011834,0.011834,0.511843,1,1,0,1
FULL_30_DAYS,entry_regime,RANGING,2,-0.398032,0.322883,2,0,-0.281564,0.116468,0.116468,0.232935,0.124208,2,1,1,1,2,0,-0.235018,0.163014,0.163014,0.326028,0.237263,2,1,1,1,2,0,-0.19565,0.202382,0.202382,0.404764,0.262761,2,1,1,1,2,0,-0.155356,0.242676,0.242676,0.485352,0.262761,2,1,1,1,2,0,-0.155356,0.242676,0.242676,0.485352,0.331075,2,1,1,1,2,0,-0.07801,0.320022,0.320022,0.640044,0.336688,2,1,1,1
FULL_30_DAYS,entry_regime,TREND_DN,50,0.074511,0.412443,50,0,0.206932,0.132421,0.103962,6.621059,0.193119,17,10,20,25,50,0,0.252598,0.178088,0.153245,8.904386,0.259114,23,10,20,28,50,0,0.291995,0.217485,0.189416,10.874254,0.331452,27,10,21,29,50,0,0.315507,0.240996,0.196876,12.049819,0.359287,27,10,21,29,50,0,0.4216,0.34709,0.234547,17.354497,0.411417,33,10,21,29,50,0,0.684104,0.609594,0.400218,30.479675,0.536728,35,12,21,29
FULL_30_DAYS,entry_regime,TREND_UP,24,0.01247,0.334439,24,0,0.146163,0.133693,0.105676,3.208632,0.145406,9,2,13,9,24,0,0.189313,0.176843,0.177231,4.244231,0.162258,10,2,13,9,24,0,0.239684,0.227214,0.220776,5.45314,0.203096,13,2,13,9,24,0,0.326025,0.313555,0.278205,7.525322,0.2101,14,2,14,9,24,0,0.394882,0.382411,0.340285,9.17787,0.249327,16,3,14,10,24,0,0.535675,0.523205,0.383041,12.556916,0.370261,17,3,14,10
