entry_timing_classification,positions,wins,avg_realized_r,avg_mfe_r,avg_mae_r,avg_move_r,win_rate_pct
GOOD_TIMING_NEAR_SIGNAL_PRICE,102,81,0.026284313725490196,0.3687549019607843,-0.43961764705882356,0.004362745098039216,79.4
LATE_ENTRY_CHASED_DURING_TIMER,14,12,0.04778571428571428,0.3961428571428572,-0.4134285714285714,0.20192857142857143,85.7
MODERATE_DRIFT_DURING_TIMER,36,30,0.1001388888888889,0.4056666666666667,-0.39819444444444446,0.08866666666666667,83.3
