lifecycle_state_at_entry,positions,wins,avg_realized_r,avg_mfe_r,avg_mae_r,win_rate_pct
OPPOSITE_DIRECTION_CONFIRMED,6,5,0.11399999999999999,0.4186666666666667,-0.43249999999999994,83.3
OPPOSITE_DIRECTION_FORMING,62,47,-0.03508064516129032,0.34058064516129033,-0.42001612903225805,75.8
TRANSITION_NEUTRAL,29,26,0.13486206896551725,0.39655172413793105,-0.47658620689655173,89.7
TREND_EXHAUSTING,3,3,0.26133333333333336,0.35966666666666663,-0.118,100.0
TREND_HEALTHY,2,2,0.13999999999999999,0.3375,-0.157,100.0
TREND_MATURE,26,22,0.12876923076923077,0.4345769230769231,-0.41446153846153844,84.6
