campaign_id,candidate_id,signal_time,entry_time,elapsed_seconds,intended_entry_price,actual_entry_price,move_from_intended_entry_r,structure_valid_at_entry,final_action,regime_at_signal,regime_at_entry,regime_changed,lifecycle_state_at_signal,lifecycle_state_at_entry,lifecycle_changed,location_at_signal,location_at_entry,exhaustion_state_at_signal,exhaustion_state_at_entry,timing_state_at_signal,timing_state_at_entry,htf_state_at_signal,htf_state_at_entry,structure_state_at_signal,structure_state_at_entry,pressure_state_at_signal,pressure_state_at_entry,final_arbiter_location,final_arbiter_pressure,final_arbiter_exhaustion_pct,final_arbiter_decision,learned_trend_health,learned_pullback_completion_pct,learned_continuation_pct,learned_trap_risk_pct,learned_liquidity_sweep,learned_breakout_acceptance,entry_timing_classification,data_source
CAMP-27,"109812316|XAUUSD|20250401|M30_THREE_M10|2026.05.29_01:30:00|CORE|SELL|EVIDENCE=1165,1166,1167",2026.05.29 01:30:00,2026.05.29 01:33:00,180.0,4495.83,4495.73,0.007,true,ENTER_NOW,TREND_UP,TREND_UP,False,TREND_EARLY,OPPOSITE_DIRECTION_CONFIRMED,True,LOCATION_RESET_PENDING,,EXHAUSTION_RESET_CONFIRMED,,TIMING_WAIT_CONFIRMATION,,HTF_ALIGNED,,STRUCTURE_OPPOSES,,SELL_PRESSURE_STRONG,,LOCATION_RESET_PENDING,SELL_PRESSURE_STRONG,92%,ALLOW,ALIGNED,25,0,80,UNKNOWN,UNCONFIRMED,GOOD_TIMING_NEAR_SIGNAL_PRICE,EXACT_JOURNAL
CAMP-28,"109812316|XAUUSD|20250401|M30_THREE_M10|2026.05.29_07:30:00|CORE|BUY|EVIDENCE=1201,1202,1203",2026.05.29 07:30:30,2026.05.29 07:33:00,150.0,4510.4,4509.32,0.0,true,ENTER_NOW,TREND_UP,TREND_UP,False,,,False,LOCATION_RESET_PENDING,LOCATION_RESET_PENDING,EXHAUSTION_MODERATE,EXHAUSTION_MODERATE,TIMING_WAIT_PULLBACK,TIMING_WAIT_PULLBACK,HTF_TRANSITIONING,HTF_TRANSITIONING,STRUCTURE_SUPPORTS,STRUCTURE_SUPPORTS,PRESSURE_TRANSITIONING,PRESSURE_TRANSITIONING,LOCATION_RESET_PENDING,PRESSURE_TRANSITIONING,50%,ALLOW,OPPOSED,80,90,0,UNKNOWN,ACCEPTED,GOOD_TIMING_NEAR_SIGNAL_PRICE,EXACT_JOURNAL
CAMP-29,"109812316|XAUUSD|20250401|M30_THREE_M10|2026.05.29_08:00:00|CORE|BUY|EVIDENCE=1204,1205,1206",2026.05.29 08:00:30,2026.05.29 08:03:30,180.0,4514.35,4510.84,0.0,true,ENTER_NOW,TREND_UP,TREND_UP,False,,,False,LOCATION_RESET_CONFIRMED,LOCATION_RESET_CONFIRMED,EXHAUSTION_HIGH,EXHAUSTION_HIGH,TIMING_WAIT_PULLBACK,TIMING_WAIT_PULLBACK,HTF_STRONG_CONFLICT,HTF_STRONG_CONFLICT,STRUCTURE_SUPPORTS,STRUCTURE_SUPPORTS,BUY_PRESSURE_STRONG,BUY_PRESSURE_STRONG,LOCATION_RESET_CONFIRMED,BUY_PRESSURE_STRONG,70%,ALLOW,OPPOSED,80,75,0,UNKNOWN,ACCEPTED,GOOD_TIMING_NEAR_SIGNAL_PRICE,EXACT_JOURNAL
CAMP-30,"109812316|XAUUSD|20250401|M30_THREE_M10|2026.05.29_15:30:00|CORE|SELL|EVIDENCE=1249,1250,1251",2026.05.29 15:30:30,2026.05.29 15:33:00,150.0,4519.94,4520.23,0.0,true,ENTER_NOW,TREND_UP,TREND_UP,False,,OPPOSITE_DIRECTION_FORMING,False,LOCATION_LATE,,EXHAUSTION_RESET_CONFIRMED,,TIMING_WAIT_PULLBACK,,HTF_TRANSITIONING,,STRUCTURE_OPPOSES,,PRESSURE_TRANSITIONING,,LOCATION_LATE,PRESSURE_TRANSITIONING,96%,ALLOW,NEUTRAL,80,75,20,UNKNOWN,ACCEPTED,GOOD_TIMING_NEAR_SIGNAL_PRICE,EXACT_JOURNAL
CAMP-31,"109812316|XAUUSD|20250401|M30_THREE_M10|2026.06.01_07:00:00|CORE|BUY|EVIDENCE=1312,1313,1314",2026.06.01 07:00:30,2026.06.01 07:03:30,180.0,4517.28,4518.75,0.079,true,ENTER_NOW,TREND_UP,TREND_UP,False,,TRANSITION_NEUTRAL,False,LOCATION_RESET_PENDING,,EXHAUSTION_RESET_CONFIRMED,,TIMING_WAIT_RECLAIM,,HTF_TRANSITIONING,,STRUCTURE_SUPPORTS,,PRESSURE_TRANSITIONING,,LOCATION_RESET_PENDING,PRESSURE_TRANSITIONING,76%,ALLOW,NEUTRAL,80,75,0,UNKNOWN,ACCEPTED,MODERATE_DRIFT_DURING_TIMER,EXACT_JOURNAL
CAMP-32,"109812316|XAUUSD|20250401|M30_THREE_M10|2026.06.01_08:30:00|CORE|BUY|EVIDENCE=1321,1322,1323",2026.06.01 08:30:55,2026.06.01 08:33:25,150.0,4521.36,4516.06,0.0,true,ENTER_NOW,TREND_UP,TREND_UP,False,,TRANSITION_NEUTRAL,False,LOCATION_RESET_PENDING,,EXHAUSTION_RESET_CONFIRMED,,TIMING_WAIT_CONFIRMATION,,HTF_TRANSITIONING,,STRUCTURE_SUPPORTS,,PRESSURE_TRANSITIONING,,LOCATION_RESET_PENDING,PRESSURE_TRANSITIONING,81%,ALLOW,NEUTRAL,25,15,40,UNKNOWN,UNCONFIRMED,GOOD_TIMING_NEAR_SIGNAL_PRICE,EXACT_JOURNAL
CAMP-33,"109812316|XAUUSD|20250401|M30_THREE_M10|2026.06.01_19:00:00|CORE|BUY|EVIDENCE=1384,1385,1386",2026.06.01 19:00:00,2026.06.01 19:03:00,180.0,4474.37,4474.61,0.008,true,ENTER_NOW,TREND_DN,TREND_DN,False,TRANSITION_NEUTRAL,OPPOSITE_DIRECTION_FORMING,True,LOCATION_RESET_PENDING,,EXHAUSTION_RESET_CONFIRMED,,TIMING_WAIT_CONFIRMATION,,HTF_TRANSITIONING,,STRUCTURE_OPPOSES,,PRESSURE_TRANSITIONING,,LOCATION_RESET_PENDING,PRESSURE_TRANSITIONING,99%,ALLOW,NEUTRAL,80,60,20,UNKNOWN,ACCEPTED,GOOD_TIMING_NEAR_SIGNAL_PRICE,EXACT_JOURNAL
CAMP-34,"109812316|XAUUSD|20250401|M30_THREE_M10|2026.06.01_21:00:00|CORE|BUY|EVIDENCE=1396,1397,1398",2026.06.01 21:00:30,2026.06.01 21:03:30,180.0,4487.96,4486.92,0.0,true,ENTER_NOW,TREND_DN,TREND_DN,False,,OPPOSITE_DIRECTION_FORMING,False,LOCATION_RESET_PENDING,LOCATION_RESET_PENDING,EXHAUSTION_RESET_CONFIRMED,EXHAUSTION_RESET_CONFIRMED,TIMING_WAIT_PULLBACK,TIMING_WAIT_PULLBACK,HTF_NEUTRAL,HTF_NEUTRAL,STRUCTURE_OPPOSES,STRUCTURE_OPPOSES,BUY_PRESSURE_STRONG,BUY_PRESSURE_STRONG,LOCATION_RESET_PENDING,BUY_PRESSURE_STRONG,69%,ALLOW,NEUTRAL,25,15,60,UNKNOWN,UNCONFIRMED,GOOD_TIMING_NEAR_SIGNAL_PRICE,EXACT_JOURNAL
CAMP-35,"109812316|XAUUSD|20250401|M30_THREE_M10|2026.06.02_05:00:00|CORE|SELL|EVIDENCE=1432,1433,1434",2026.06.02 05:00:00,2026.06.02 05:03:00,180.0,4474.18,4478.37,0.0,true,ENTER_NOW,BRKT_DN,BRKT_DN,False,TRANSITION_NEUTRAL,,False,LOCATION_RESET_PENDING,LOCATION_RESET_PENDING,EXHAUSTION_MODERATE,EXHAUSTION_MODERATE,TIMING_WAIT_CONFIRMATION,TIMING_WAIT_CONFIRMATION,HTF_TRANSITIONING,HTF_TRANSITIONING,STRUCTURE_SUPPORTS,STRUCTURE_SUPPORTS,PRESSURE_TRANSITIONING,PRESSURE_TRANSITIONING,LOCATION_RESET_PENDING,PRESSURE_TRANSITIONING,56%,ALLOW,NEUTRAL,80,75,0,UNKNOWN,ACCEPTED,GOOD_TIMING_NEAR_SIGNAL_PRICE,EXACT_JOURNAL
CAMP-36,"109812316|XAUUSD|20250401|M30_THREE_M10|2026.06.02_12:00:00|CORE|SELL|EVIDENCE=1474,1475,1476",2026.06.02 12:00:00,2026.06.02 12:03:00,180.0,4526.7,4527.15,0.0,true,ENTER_NOW,TREND_UP,TREND_UP,False,TRANSITION_NEUTRAL,OPPOSITE_DIRECTION_FORMING,True,LOCATION_RESET_PENDING,,EXHAUSTION_RESET_CONFIRMED,,TIMING_WAIT_PULLBACK,,HTF_TRANSITIONING,,STRUCTURE_OPPOSES,,PRESSURE_TRANSITIONING,,LOCATION_RESET_PENDING,PRESSURE_TRANSITIONING,100%,ALLOW,NEUTRAL,25,75,40,UNKNOWN,UNCONFIRMED,GOOD_TIMING_NEAR_SIGNAL_PRICE,EXACT_JOURNAL
