period,dimension,value,trades,avg_realized_r,avg_peak_r_while_open,trades_with_5m_data,historical_data_unavailable_5m,avg_total_favorable_r_5m,avg_missed_r_5m,median_missed_r_5m,total_missed_r_5m,avg_max_adverse_r_5m,returned_to_entry_count_5m,crossed_original_sl_count_5m,clean_continuation_count_5m,immediate_reversal_count_5m,trades_with_10m_data,historical_data_unavailable_10m,avg_total_favorable_r_10m,avg_missed_r_10m,median_missed_r_10m,total_missed_r_10m,avg_max_adverse_r_10m,returned_to_entry_count_10m,crossed_original_sl_count_10m,clean_continuation_count_10m,immediate_reversal_count_10m,trades_with_15m_data,historical_data_unavailable_15m,avg_total_favorable_r_15m,avg_missed_r_15m,median_missed_r_15m,total_missed_r_15m,avg_max_adverse_r_15m,returned_to_entry_count_15m,crossed_original_sl_count_15m,clean_continuation_count_15m,immediate_reversal_count_15m,trades_with_20m_data,historical_data_unavailable_20m,avg_total_favorable_r_20m,avg_missed_r_20m,median_missed_r_20m,total_missed_r_20m,avg_max_adverse_r_20m,returned_to_entry_count_20m,crossed_original_sl_count_20m,clean_continuation_count_20m,immediate_reversal_count_20m,trades_with_30m_data,historical_data_unavailable_30m,avg_total_favorable_r_30m,avg_missed_r_30m,median_missed_r_30m,total_missed_r_30m,avg_max_adverse_r_30m,returned_to_entry_count_30m,crossed_original_sl_count_30m,clean_continuation_count_30m,immediate_reversal_count_30m,trades_with_60m_data,historical_data_unavailable_60m,avg_total_favorable_r_60m,avg_missed_r_60m,median_missed_r_60m,total_missed_r_60m,avg_max_adverse_r_60m,returned_to_entry_count_60m,crossed_original_sl_count_60m,clean_continuation_count_60m,immediate_reversal_count_60m
FIRST_60_DAYS,exit_authority,BROKER_SL,0,,,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0
FIRST_60_DAYS,exit_authority,PROFIT_CLOSE,0,,,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0
FIRST_60_DAYS,exit_authority,SL_MOD:OWNER_R_EXIT_FLOOR,0,,,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0
LATEST_30_DAYS,exit_authority,BROKER_SL,32,-0.955416,0.206551,32,0,-0.752824,0.202592,0.187562,6.482949,0.170188,31,30,19,11,32,0,-0.695372,0.260044,0.215458,8.321399,0.202615,31,30,19,12,32,0,-0.662832,0.292584,0.267701,9.362688,0.29298,31,30,20,12,32,0,-0.623902,0.331515,0.285176,10.608465,0.33442,31,30,20,12,32,0,-0.568107,0.387309,0.335175,12.393902,0.558023,31,31,20,12,32,0,-0.441128,0.514288,0.480038,16.457212,0.744181,31,31,20,12
LATEST_30_DAYS,exit_authority,PROFIT_CLOSE,5,0.562174,0.562174,5,0,0.704772,0.142599,0.064823,0.712994,0.109828,0,0,2,3,5,0,0.748938,0.186764,0.124008,0.93382,0.175665,0,0,2,3,5,0,0.776967,0.214794,0.165299,1.073968,0.175961,0,0,2,3,5,0,0.861006,0.298833,0.191164,1.494163,0.201994,0,0,2,3,5,0,0.935471,0.373297,0.528153,1.866486,0.201994,0,0,2,3,5,0,1.189338,0.627165,0.559501,3.135823,0.201994,0,0,2,3
LATEST_30_DAYS,exit_authority,SL_MOD:OWNER_R_EXIT_FLOOR,46,0.436274,0.582779,46,0,0.584283,0.148009,0.112917,6.808426,0.192572,5,0,20,24,46,0,0.646927,0.210654,0.209998,9.690077,0.262525,10,0,20,25,46,0,0.677968,0.241694,0.236298,11.117934,0.324878,13,0,21,25,46,0,0.745511,0.309238,0.258126,14.224935,0.358378,13,0,21,25,46,0,0.887617,0.451343,0.327734,20.761791,0.408308,17,1,21,25,46,0,1.123714,0.687441,0.398343,31.622269,0.555479,23,3,21,25
FULL_90_DAYS,exit_authority,BROKER_SL,32,-0.955416,0.206551,32,0,-0.752824,0.202592,0.187562,6.482949,0.170188,31,30,19,11,32,0,-0.695372,0.260044,0.215458,8.321399,0.202615,31,30,19,12,32,0,-0.662832,0.292584,0.267701,9.362688,0.29298,31,30,20,12,32,0,-0.623902,0.331515,0.285176,10.608465,0.33442,31,30,20,12,32,0,-0.568107,0.387309,0.335175,12.393902,0.558023,31,31,20,12,32,0,-0.441128,0.514288,0.480038,16.457212,0.744181,31,31,20,12
FULL_90_DAYS,exit_authority,PROFIT_CLOSE,5,0.562174,0.562174,5,0,0.704772,0.142599,0.064823,0.712994,0.109828,0,0,2,3,5,0,0.748938,0.186764,0.124008,0.93382,0.175665,0,0,2,3,5,0,0.776967,0.214794,0.165299,1.073968,0.175961,0,0,2,3,5,0,0.861006,0.298833,0.191164,1.494163,0.201994,0,0,2,3,5,0,0.935471,0.373297,0.528153,1.866486,0.201994,0,0,2,3,5,0,1.189338,0.627165,0.559501,3.135823,0.201994,0,0,2,3
FULL_90_DAYS,exit_authority,SL_MOD:OWNER_R_EXIT_FLOOR,46,0.436274,0.582779,46,0,0.584283,0.148009,0.112917,6.808426,0.192572,5,0,20,24,46,0,0.646927,0.210654,0.209998,9.690077,0.262525,10,0,20,25,46,0,0.677968,0.241694,0.236298,11.117934,0.324878,13,0,21,25,46,0,0.745511,0.309238,0.258126,14.224935,0.358378,13,0,21,25,46,0,0.887617,0.451343,0.327734,20.761791,0.408308,17,1,21,25,46,0,1.123714,0.687441,0.398343,31.622269,0.555479,23,3,21,25
