log_date	device_time	source_line	runtime	event_type	message
20260722	08:10:02.900	8138	XAUUSD_AI_Sniper_EA_v6.25.24_REPLAY_ROOT_CONSOLIDATED_FIX (XAUUSD,M5)	M10_SIGNAL_ANALYSIS	M10_SIGNAL_ANALYSIS | evidenceId=12 barTime=2026.07.22 10:00 trendState=TREND_EXHAUSTED buyPressure=0.0 buySlope=0.0 sellPressure=100.0 sellSlope=7.5 buyCaseScore=26.2 sellCaseScore=86.3 continuationScore=0.0 exhaustionScore=91.2 exhaustionPct=91.2 structure=STRUCTURE_MIXED location=LOCATION_RESET_PENDING buyRoomR=2.37 sellRoomR=3.09 preferredDirection=SELL decision=TRANSITION_WATCH confidence=86.3 reason=opposite score cleared 55 (buy=26.2 sell=86.3) but Adaptive Transition has not yet allowed entry; keep watching
20260722	08:10:02.900	8139	XAUUSD_AI_Sniper_EA_v6.25.24_REPLAY_ROOT_CONSOLIDATED_FIX (XAUUSD,M5)	M10_EVIDENCE_STORED	M10_EVIDENCE_STORED | barOpen=2026.07.22 10:00:00 barClose=2026.07.22 10:10:00 evidenceId=12 buyCaseScore=26.24 sellCaseScore=86.29 preferredDirection=SELL decision=TRANSITION_WATCH location=LOCATION_RESET_PENDING structure=STRUCTURE_MIXED freshness=FRESH dataState=COMPLETE
20260722	08:10:03.112	8144	XAUUSD_AI_Sniper_EA_v6.25.24_REPLAY_ROOT_CONSOLIDATED_FIX (XAUUSD,M5)	M10_CANDIDATE_REJECTED	M10_CANDIDATE_REJECTED | proposedDirection=BUY proposedSetup=TREND_PULLBACK m10Decision=TRANSITION_WATCH m10PreferredDirection=SELL m10Reason=opposite score cleared 55 (buy=26.2 sell=86.3) but Adaptive Transition has not yet allowed entry; keep watching -- ScoreSetups/reversal-path direction not endorsed by the canonical M10 authority
20260722	08:20:00.365	8206	XAUUSD_AI_Sniper_EA_v6.25.24_REPLAY_ROOT_CONSOLIDATED_FIX (XAUUSD,M5)	M10_SNAPSHOT_4807_PATIENT_WAIT	M10_SNAPSHOT_4807_PATIENT_WAIT | bar=2026.07.22 10:10 | indicator=EMA_FAST_M10 | handle=10 | phase=BARSCALCULATED_4807 | distinctTicks=1 | elapsedSec=0 | action=KEEP_HANDLE_DEFER_SAME_BAR
20260722	08:20:00.365	8207	XAUUSD_AI_Sniper_EA_v6.25.24_REPLAY_ROOT_CONSOLIDATED_FIX (XAUUSD,M5)	M10_SNAPSHOT_4807_PATIENT_WAIT	M10_SNAPSHOT_4807_PATIENT_WAIT | bar=2026.07.22 10:10 | indicator=ATR_M10 | handle=13 | phase=BARSCALCULATED_4807 | distinctTicks=1 | elapsedSec=0 | action=KEEP_HANDLE_DEFER_SAME_BAR
20260722	08:20:00.365	8208	XAUUSD_AI_Sniper_EA_v6.25.24_REPLAY_ROOT_CONSOLIDATED_FIX (XAUUSD,M5)	M10_SNAPSHOT_DEFERRED	M10_SNAPSHOT_DEFERRED | bar=2026.07.22 10:10 | indicator=EMA_FAST_M10 | class=WRONG_HANDLE_REPAIR_PENDING | handle=10 | BarsCalculated=-1 | requested=11 | returned=-1 | GetLastError=4807 | attempt=1 | waitedSec=0 | nextRetry=10:20:01 | terminal=false
20260722	08:20:01.638	8209	XAUUSD_AI_Sniper_EA_v6.25.24_REPLAY_ROOT_CONSOLIDATED_FIX (XAUUSD,M5)	M10_SNAPSHOT_4807_PATIENT_WAIT	M10_SNAPSHOT_4807_PATIENT_WAIT | bar=2026.07.22 10:10 | indicator=EMA_FAST_M10 | handle=10 | phase=BARSCALCULATED_4807 | distinctTicks=2 | elapsedSec=1 | action=KEEP_HANDLE_DEFER_SAME_BAR
20260722	08:20:01.638	8210	XAUUSD_AI_Sniper_EA_v6.25.24_REPLAY_ROOT_CONSOLIDATED_FIX (XAUUSD,M5)	M10_SNAPSHOT_4807_PATIENT_WAIT	M10_SNAPSHOT_4807_PATIENT_WAIT | bar=2026.07.22 10:10 | indicator=ATR_M10 | handle=13 | phase=BARSCALCULATED_4807 | distinctTicks=2 | elapsedSec=1 | action=KEEP_HANDLE_DEFER_SAME_BAR
20260722	08:20:01.638	8211	XAUUSD_AI_Sniper_EA_v6.25.24_REPLAY_ROOT_CONSOLIDATED_FIX (XAUUSD,M5)	M10_SNAPSHOT_DEFERRED	M10_SNAPSHOT_DEFERRED | bar=2026.07.22 10:10 | indicator=EMA_FAST_M10 | class=WRONG_HANDLE_REPAIR_PENDING | handle=10 | BarsCalculated=-1 | requested=11 | returned=-1 | GetLastError=4807 | attempt=2 | waitedSec=1 | nextRetry=10:20:02 | terminal=false
20260722	08:20:02.687	8212	XAUUSD_AI_Sniper_EA_v6.25.24_REPLAY_ROOT_CONSOLIDATED_FIX (XAUUSD,M5)	M10_SNAPSHOT_HANDLE_RECREATE	M10_SNAPSHOT_HANDLE_RECREATE | bar=2026.07.22 10:10 | indicator=EMA_FAST_M10 | oldHandle=10 | result=OK | generation=12 | createError=4807
20260722	08:20:02.687	8213	XAUUSD_AI_Sniper_EA_v6.25.24_REPLAY_ROOT_CONSOLIDATED_FIX (XAUUSD,M5)	M10_SNAPSHOT_WRONG_HANDLE_RECOVERY	M10_SNAPSHOT_WRONG_HANDLE_RECOVERY | bar=2026.07.22 10:10 | indicator=EMA_FAST_M10 | observedHandle=10 | phase=BARSCALCULATED_4807_PERSISTED | rebuild=OK | rebuildAttempt=1/2
20260722	08:20:02.687	8214	XAUUSD_AI_Sniper_EA_v6.25.24_REPLAY_ROOT_CONSOLIDATED_FIX (XAUUSD,M5)	M10_SNAPSHOT_HANDLE_RECREATE	M10_SNAPSHOT_HANDLE_RECREATE | bar=2026.07.22 10:10 | indicator=ATR_M10 | oldHandle=13 | result=OK | generation=12 | createError=4807
20260722	08:20:02.687	8215	XAUUSD_AI_Sniper_EA_v6.25.24_REPLAY_ROOT_CONSOLIDATED_FIX (XAUUSD,M5)	M10_SNAPSHOT_WRONG_HANDLE_RECOVERY	M10_SNAPSHOT_WRONG_HANDLE_RECOVERY | bar=2026.07.22 10:10 | indicator=ATR_M10 | observedHandle=13 | phase=BARSCALCULATED_4807_PERSISTED | rebuild=OK | rebuildAttempt=1/2
20260722	08:20:02.687	8216	XAUUSD_AI_Sniper_EA_v6.25.24_REPLAY_ROOT_CONSOLIDATED_FIX (XAUUSD,M5)	M10_SNAPSHOT_DEFERRED	M10_SNAPSHOT_DEFERRED | bar=2026.07.22 10:10 | indicator=EMA_FAST_M10 | class=WRONG_HANDLE_REPAIR_PENDING | handle=10 | BarsCalculated=-1 | requested=11 | returned=-1 | GetLastError=4807 | attempt=3 | waitedSec=2 | nextRetry=10:20:03 | terminal=false
20260722	08:20:02.907	8217	XAUUSD_AI_Sniper_EA_v6.25.24_REPLAY_ROOT_CONSOLIDATED_FIX (XAUUSD,M5)	M10_SNAPSHOT_READY	M10_SNAPSHOT_READY | bar=2026.07.22 10:10 | attempts=4 | waitedSec=3 | wrongHandleRecoveries=24 | transient4807Waits=72 | allRequiredIndicators=COMPLETE | closedShift=1 | immutable=true
20260722	08:20:02.908	8219	XAUUSD_AI_Sniper_EA_v6.25.24_REPLAY_ROOT_CONSOLIDATED_FIX (XAUUSD,M5)	M10_FRESHNESS	M10_FRESHNESS | currentTime=2026.07.22 10:20:03 evaluatedBarOpen=2026.07.22 10:10:00 evaluatedBarClose=2026.07.22 10:20:00 latestClosedBarOpen=2026.07.22 10:10:00 previousClosedBarOpen=2026.07.22 10:00:00 evaluatedShift=1 openAgeSeconds=603 closeAgeSeconds=3 freshnessState=FRESH dataState=COMPLETE staleCause= continuationEntryPaused=true
20260722	08:20:02.908	8220	XAUUSD_AI_Sniper_EA_v6.25.24_REPLAY_ROOT_CONSOLIDATED_FIX (XAUUSD,M5)	M10_SIGNAL_ANALYSIS	M10_SIGNAL_ANALYSIS | evidenceId=13 barTime=2026.07.22 10:10 trendState=TREND_EXHAUSTED buyPressure=3.8 buySlope=3.8 sellPressure=70.3 sellSlope=-29.7 buyCaseScore=25.3 sellCaseScore=68.9 continuationScore=3.8 exhaustionScore=91.2 exhaustionPct=91.2 structure=STRUCTURE_MIXED location=LOCATION_RESET_PENDING buyRoomR=1.84 sellRoomR=3.40 preferredDirection=SELL decision=SELL_CANDIDATE confidence=68.9 reason=confirmed opposite case wins (score=68.9 vs dominant=25.3); Adaptive Transition already marked oppositeEntryAllowed=true
20260722	08:20:02.908	8221	XAUUSD_AI_Sniper_EA_v6.25.24_REPLAY_ROOT_CONSOLIDATED_FIX (XAUUSD,M5)	M10_EVIDENCE_STORED	M10_EVIDENCE_STORED | barOpen=2026.07.22 10:10:00 barClose=2026.07.22 10:20:00 evidenceId=13 buyCaseScore=25.28 sellCaseScore=68.94 preferredDirection=SELL decision=SELL_CANDIDATE location=LOCATION_RESET_PENDING structure=STRUCTURE_MIXED freshness=FRESH dataState=COMPLETE
20260722	08:20:03.120	8227	XAUUSD_AI_Sniper_EA_v6.25.24_REPLAY_ROOT_CONSOLIDATED_FIX (XAUUSD,M5)	M10_CANDIDATE_REJECTED	M10_CANDIDATE_REJECTED | proposedDirection=BUY proposedSetup=TREND_PULLBACK m10Decision=SELL_CANDIDATE m10PreferredDirection=SELL m10Reason=confirmed opposite case wins (score=68.9 vs dominant=25.3); Adaptive Transition already marked oppositeEntryAllowed=true -- ScoreSetups/reversal-path direction not endorsed by the canonical M10 authority
20260722	08:20:03.120	8228	XAUUSD_AI_Sniper_EA_v6.25.24_REPLAY_ROOT_CONSOLIDATED_FIX (XAUUSD,M5)	M10_ORIGINATED_CANDIDATE_SHARED_PATH	M10_ORIGINATED_CANDIDATE_SHARED_PATH | direction=SELL setupScore=5.93 m10Confidence=68.9 m10Decision=SELL_CANDIDATE evidenceId=13 reason=confirmed opposite case wins (score=68.9 vs dominant=25.3); Adaptive Transition already marked oppositeEntryAllowed=true
20260722	08:20:03.120	8229	XAUUSD_AI_Sniper_EA_v6.25.24_REPLAY_ROOT_CONSOLIDATED_FIX (XAUUSD,M5)	M10_CANONICAL_SCORE_APPLIED	M10_CANONICAL_SCORE_APPLIED | direction=SELL | setup=M10_ORIGINATED_CANDIDATE | legacySetupScore=5.93 | canonicalM10Score=5.93 | finalSetupScore=5.93 | m10Confidence=68.9 | evidenceId=13
20260722	08:20:03.454	8237	XAUUSD_AI_Sniper_EA_v6.25.24_REPLAY_ROOT_CONSOLIDATED_FIX (XAUUSD,M5)	ENTRY_TIMER_STARTED	ENTRY_TIMER_STARTED | candidateId=M10_ORIGINATED_CANDIDATE_SELL_6 direction=SELL minimumSeconds=120 targetSeconds=150 maximumSeconds=180 origin=2026.07.22 10:20:03
20260722	08:22:34.408	8255	XAUUSD_AI_Sniper_EA_v6.25.24_REPLAY_ROOT_CONSOLIDATED_FIX (XAUUSD,M5)	ENTRY_TIMER_COMPLETED	ENTRY_TIMER_COMPLETED | candidateId=M10_ORIGINATED_CANDIDATE_SELL_6 dir=SELL elapsed=151s required=150s maximumSeconds=180
