log_date	device_time	source_line	runtime	event_type	message	http	error	source_event_type
20260720	00:10:06.049	596	XAUUSD_AI_Sniper_EA_v6.25.15_FINAL (XAUUSD,M15)	BOT-DECISION	BOT-DECISION activity POST failed url=https://xauaisniper.com/api/cloud/monitor/activity http=1003 err=5203 consecutiveFails=1 event=PRIMARY_DECISION response=	1003	5203	PRIMARY_DECISION
20260720	01:40:37.936	7255	XAUUSD_AI_Sniper_EA_v6.25.15_FINAL (XAUUSD,M30)	BOT-DECISION	BOT-DECISION activity POST failed url=https://xauaisniper.com/api/cloud/monitor/activity http=1003 err=5203 consecutiveFails=1 event=BOT_STATUS_HEARTBEAT response=	1003	5203	BOT_STATUS_HEARTBEAT
20260720	14:40:36.429	97269	XAUUSD_AI_Sniper_EA_v6.25.15_FINAL_BASKET_050R_AUDIT_FIXED_M30_DEFAULT (XAUUSD,M5)	BOT-DECISION	BOT-DECISION activity POST failed url=https://xauaisniper.com/api/cloud/monitor/activity http=1003 err=5203 consecutiveFails=1 event=BOT_STATUS_HEARTBEAT response=	1003	5203	BOT_STATUS_HEARTBEAT
20260721	00:08:28.784	701	XAUUSD_AI_Sniper_EA_v6.25.15_FINAL_BASKET_050R_AUDIT_FIXED_M30_DEFAULT (XAUUSD,M5)	BOT-DECISION	BOT-DECISION activity POST failed url=https://xauaisniper.com/api/cloud/monitor/activity http=1003 err=5203 consecutiveFails=1 event=PRIMARY_DECISION response=	1003	5203	PRIMARY_DECISION
20260721	01:46:31.877	5236	XAUUSD_AI_Sniper_EA_v6.25.15_FINAL_BASKET_050R_AUDIT_FIXED_M30_DEFAULT (XAUUSD,M5)	BOT-DECISION	BOT-DECISION activity POST failed url=https://xauaisniper.com/api/cloud/monitor/activity http=1003 err=5203 consecutiveFails=1 event=BOT_STATUS_HEARTBEAT response=	1003	5203	BOT_STATUS_HEARTBEAT
20260721	02:13:46.740	7470	XAUUSD_AI_Sniper_EA_v6.25.15_FINAL_BASKET_050R_AUDIT_FIXED_M30_DEFAULT (XAUUSD,M5)	BOT-DECISION	BOT-DECISION activity POST failed url=https://xauaisniper.com/api/cloud/monitor/activity http=1003 err=5203 consecutiveFails=1 event=BOT_STATUS_HEARTBEAT response=	1003	5203	BOT_STATUS_HEARTBEAT
20260721	05:20:35.875	18141	XAUUSD_AI_Sniper_EA_v6.25.15_FINAL_BASKET_050R_M10_ONLY_BLOCK_EXCELLENT_LATE (XAUUSD,M10)	BOT-DECISION	BOT-DECISION activity POST failed url=https://xauaisniper.com/api/cloud/monitor/activity http=1003 err=5203 consecutiveFails=1 event=PRIMARY_DECISION response=	1003	5203	PRIMARY_DECISION
20260721	05:58:11.710	20674	XAUUSD_AI_Sniper_EA_v6.25.15_FINAL_BASKET_050R_M10_ONLY_BLOCK_EXCELLENT_LATE (XAUUSD,M10)	BOT-DECISION	BOT-DECISION activity POST failed url=https://xauaisniper.com/api/cloud/monitor/activity http=1003 err=5203 consecutiveFails=1 event=BOT_STATUS_HEARTBEAT response=	1003	5203	BOT_STATUS_HEARTBEAT
20260721	06:03:16.823	21346	XAUUSD_AI_Sniper_EA_v6.25.15_FINAL_BASKET_050R_M10_ONLY_BLOCK_EXCELLENT_LATE (XAUUSD,M10)	BOT-DECISION	BOT-DECISION activity POST failed url=https://xauaisniper.com/api/cloud/monitor/activity http=1003 err=5203 consecutiveFails=1 event=BOT_STATUS_HEARTBEAT response=	1003	5203	BOT_STATUS_HEARTBEAT
20260721	08:28:03.263	37326	XAUUSD_AI_Sniper_EA_v6.25.15_FINAL_BASKET_050R_M10_ONLY_BLOCK_EXCELLENT_LATE (XAUUSD,M10)	BOT-DECISION	BOT-DECISION activity POST failed url=https://xauaisniper.com/api/cloud/monitor/activity http=1003 err=5203 consecutiveFails=1 event=BOT_STATUS_HEARTBEAT response=	1003	5203	BOT_STATUS_HEARTBEAT
20260721	09:00:21.181	40484	XAUUSD_AI_Sniper_EA_v6.25.15_FINAL_BASKET_050R_M10_ONLY_BLOCK_EXCELLENT_LATE (XAUUSD,M10)	BOT-DECISION	BOT-DECISION activity POST failed url=https://xauaisniper.com/api/cloud/monitor/activity http=1003 err=5203 consecutiveFails=1 event=BOT_STATUS_HEARTBEAT response=	1003	5203	BOT_STATUS_HEARTBEAT
20260721	09:22:04.429	42692	XAUUSD_AI_Sniper_EA_v6.25.16_FINAL_BASKET_050R_TRUE_M10_BLOCK_EXCELLENT_LATE (XAUUSD,M10)	BOT-DECISION	BOT-DECISION activity POST failed url=https://xauaisniper.com/api/cloud/monitor/activity http=1003 err=5203 consecutiveFails=1 event=BOT_STATUS_HEARTBEAT response=	1003	5203	BOT_STATUS_HEARTBEAT
20260721	09:23:09.114	42702	XAUUSD_AI_Sniper_EA_v6.25.16_FINAL_BASKET_050R_TRUE_M10_BLOCK_EXCELLENT_LATE (XAUUSD,M10)	BOT-DECISION	BOT-DECISION activity POST failed url=https://xauaisniper.com/api/cloud/monitor/activity http=1003 err=5203 consecutiveFails=1 event=BOT_STATUS_HEARTBEAT response=	1003	5203	BOT_STATUS_HEARTBEAT
