direction,effectiveRiskUSD,entry,lots,originalOneRDistance,originalRiskUSD,originalStructuralSL,ownerExitProfile,positionId,ticket,ts
BUY,733.46,4691.00000,0.82,8.94463,733.46,4682.05537,GENERAL,124,124,
BUY,654.54,4686.85000,0.54,12.12124,654.54,4674.72876,GENERAL,126,126,
BUY,690.93,4696.57000,0.68,10.16070,690.93,4686.40930,GENERAL,128,128,
BUY,702.51,4695.81000,0.78,9.00647,702.51,4686.80353,GENERAL,130,130,
BUY,717.21,4701.67000,0.36,19.92257,717.21,4681.74743,GENERAL,132,132,
BUY,738.19,4679.92000,0.58,12.72741,738.19,4667.19259,GENERAL,134,134,
SELL,659.23,4531.33000,0.22,29.96511,659.23,4561.29511,GENERAL,136,136,
SELL,722.33,4536.22000,0.62,11.65046,722.33,4547.87046,GENERAL,138,138,
SELL,738.39,4540.47000,0.74,9.97821,738.39,4550.44821,GENERAL,140,140,
SELL,755.32,4539.15000,0.65,11.62033,755.32,4550.77033,GENERAL,142,142,
SELL,668.61,4548.64000,0.28,23.87901,668.61,4572.51901,GENERAL,144,144,
BUY,615.57,4553.16000,0.25,24.62259,615.57,4528.53741,GENERAL,146,146,
BUY,625.19,4556.67000,0.22,28.41750,625.19,4528.25250,GENERAL,148,148,
SELL,681.36,4562.14000,0.23,29.62440,681.36,4591.76440,GENERAL,150,150,
BUY,708.85,4539.12000,0.64,11.07583,708.85,4528.04417,GENERAL,152,152,
BUY,732.96,4547.24000,0.35,20.94184,732.96,4526.29816,GENERAL,154,154,
BUY,756.24,4553.71000,0.46,16.43991,756.24,4537.27009,GENERAL,156,156,
BUY,677.88,4547.01000,0.25,27.11520,677.88,4519.89480,GENERAL,158,158,
SELL,604.90,4490.43000,0.30,20.16343,604.90,4510.59343,GENERAL,160,160,
SELL,612.61,4481.77000,0.20,30.63026,612.61,4512.40026,GENERAL,162,162,
BUY,643.61,4531.36000,0.26,24.75411,643.61,4506.60589,GENERAL,164,164,
BUY,654.93,4509.95000,0.24,27.28873,654.93,4482.66127,GENERAL,166,166,
BUY,660.72,4517.51000,0.25,26.42889,660.72,4491.08111,GENERAL,168,168,
SELL,699.45,4532.54000,0.44,15.89657,699.45,4548.43657,GENERAL,170,170,
BUY,710.42,4529.16000,0.55,12.91671,710.42,4516.24329,GENERAL,172,172,
BUY,723.63,4524.18000,0.34,21.28329,723.63,4502.89671,GENERAL,174,174,
BUY,741.38,4521.25000,0.58,12.78244,741.38,4508.46756,GENERAL,176,176,
BUY,769.54,4523.40000,0.68,11.31673,769.54,4512.08327,GENERAL,178,178,
SELL,815.06,4555.77000,0.62,13.14609,815.06,4568.91609,GENERAL,180,180,
BUY,833.92,4563.93000,0.57,14.63006,833.92,4549.29994,GENERAL,182,182,
BUY,864.42,4571.83000,0.38,22.74780,864.42,4549.08220,GENERAL,184,184,
BUY,880.09,4535.66000,0.49,17.96109,880.09,4517.69891,GENERAL,186,186,
SELL,791.43,4506.31000,0.42,18.84360,791.43,4525.15360,GENERAL,188,188,
SELL,813.14,4498.61000,0.48,16.94036,813.14,4515.55036,GENERAL,190,190,
SELL,727.14,4509.38000,0.69,10.53819,727.14,4519.91819,GENERAL,192,192,
SELL,743.45,4449.98000,0.47,15.81797,743.45,4465.79797,GENERAL,194,194,
SELL,754.43,4452.20000,0.57,13.23561,754.43,4465.43561,GENERAL,196,196,
SELL,768.46,4500.59000,0.38,20.22257,768.46,4520.81257,GENERAL,198,198,
SELL,801.66,4495.73000,0.84,9.54364,801.66,4505.27364,GENERAL,200,200,
BUY,800.33,4509.32000,0.44,18.18934,800.33,4491.13066,GENERAL,202,202,
BUY,817.63,4510.84000,0.41,19.94211,817.63,4490.89789,GENERAL,204,204,
SELL,853.49,4520.23000,0.36,23.70797,853.49,4543.93797,GENERAL,206,206,
BUY,873.50,4516.33000,0.85,10.27646,873.50,4506.05354,GENERAL,208,208,
BUY,887.10,4474.61000,0.31,28.61597,887.10,4445.99403,GENERAL,210,210,
SELL,929.14,4527.15000,0.61,15.23177,929.14,4542.38177,GENERAL,212,212,
BUY,943.10,4488.11000,0.78,12.09103,943.10,4476.01897,GENERAL,214,214,
BUY,955.27,4491.17000,0.67,14.25780,955.27,4476.91220,GENERAL,216,216,
BUY,858.28,4477.06000,0.45,19.07276,858.28,4457.98724,GENERAL,218,218,
BUY,948.99,4477.88000,0.47,20.19124,948.99,4457.68876,GENERAL,220,220,
SELL,961.41,4454.88000,0.70,13.73443,961.41,4468.61443,GENERAL,222,222,
SELL,857.56,4482.68000,0.21,40.83626,857.56,4523.51626,GENERAL,224,224,
BUY,899.95,4480.70000,0.59,15.25337,899.95,4465.44663,GENERAL,226,226,
SELL,811.21,4452.74000,0.29,27.97286,811.21,4480.71286,GENERAL,228,228,
SELL,810.14,4323.10000,0.27,30.00523,810.14,4353.10523,GENERAL,230,230,
SELL,841.05,4326.33000,0.50,16.82096,841.05,4343.15096,GENERAL,232,232,
SELL,765.87,4333.14000,0.79,9.69446,765.87,4342.83446,GENERAL,234,234,
SELL,774.62,4326.29000,0.43,18.01449,774.62,4344.30449,GENERAL,236,236,
SELL,699.95,4330.92000,0.38,18.41974,699.95,4349.33974,GENERAL,238,238,
SELL,709.96,4089.17000,0.32,22.18620,709.96,4111.35620,GENERAL,240,240,
SELL,715.04,4087.19000,0.29,24.65644,715.04,4111.84644,GENERAL,242,242,
SELL,652.36,4086.64000,0.20,32.61776,652.36,4119.25776,GENERAL,244,244,
SELL,673.62,4304.42000,0.19,35.45387,673.62,4339.87387,GENERAL,246,246,
SELL,603.41,4337.15000,0.45,13.40923,603.41,4350.55923,GENERAL,248,248,
SELL,628.07,4339.20000,0.23,27.30746,628.07,4366.50746,GENERAL,250,250,
