action,attempted_authority,attempted_exit_r,authority,currentR,decision,direction,external_manual,floor_r,guaranteedFloorR,new_floor_r,peak_r,previous_floor_r,profile,protected_floor_r,reason,ret,tag,ticket,ts
,,,,,,,,0.300,,,0.403,,GENERAL,,,,OWNER_R_EXIT_FLOOR_ARMED,2,
,,,OWNER_R_EXIT_RUNNER_CONTINUATION_FAILED,,APPROVE,,false,,,,,,,,,,OWNER_R_EXIT_DECISION,2,
,,,OWNER_R_EXIT_RUNNER_CONTINUATION_FAILED,,,,false,,,,,,,,,10009,OWNER_R_EXIT_CLOSE_APPROVED,2,
,,,OWNER_R_EXIT_GIVEBACK_45,,APPROVE,,false,,,,,,,,,,OWNER_R_EXIT_DECISION,4,
,,,OWNER_R_EXIT_GIVEBACK_45,,,,false,,,,,,,,,10009,OWNER_R_EXIT_CLOSE_APPROVED,4,
,,,,,,,,0.300,,,0.400,,GENERAL,,,,OWNER_R_EXIT_FLOOR_ARMED,6,
CLOSE_AT_OR_ABOVE_FLOOR,,,,0.321,,SELL,,,0.30,,,,,,OWNER_R_EXIT_FLOOR_BREACH,,OWNER_R_EXIT_DECISION,6,
,,,OWNER_R_EXIT_FLOOR_BREACH,,APPROVE,,false,,,,,,,,,,OWNER_R_EXIT_DECISION,6,
,,,OWNER_R_EXIT_FLOOR_BREACH,,,,false,,,,,,,,,10009,OWNER_R_EXIT_CLOSE_APPROVED,6,
,,,,,,,,0.300,,,0.403,,GENERAL,,,,OWNER_R_EXIT_FLOOR_ARMED,8,
CLOSE_AT_OR_ABOVE_FLOOR,,,,0.313,,SELL,,,0.30,,,,,,OWNER_R_EXIT_FLOOR_BREACH,,OWNER_R_EXIT_DECISION,8,
,,,OWNER_R_EXIT_FLOOR_BREACH,,APPROVE,,false,,,,,,,,,,OWNER_R_EXIT_DECISION,8,
,,,OWNER_R_EXIT_FLOOR_BREACH,,,,false,,,,,,,,,10009,OWNER_R_EXIT_CLOSE_APPROVED,8,
,,,OWNER_R_EXIT_GIVEBACK_45,,APPROVE,,false,,,,,,,,,,OWNER_R_EXIT_DECISION,10,
,,,OWNER_R_EXIT_GIVEBACK_45,,,,false,,,,,,,,,10009,OWNER_R_EXIT_CLOSE_APPROVED,10,
,,,OWNER_R_EXIT_GIVEBACK_45,,APPROVE,,false,,,,,,,,,,OWNER_R_EXIT_DECISION,12,
,,,OWNER_R_EXIT_GIVEBACK_45,,,,false,,,,,,,,,10009,OWNER_R_EXIT_CLOSE_APPROVED,12,
,,,OWNER_R_EXIT_GIVEBACK_45,,APPROVE,,false,,,,,,,,,,OWNER_R_EXIT_DECISION,14,
,,,OWNER_R_EXIT_GIVEBACK_45,,,,false,,,,,,,,,10009,OWNER_R_EXIT_CLOSE_APPROVED,14,
,,,OWNER_R_EXIT_GIVEBACK_45,,APPROVE,,false,,,,,,,,,,OWNER_R_EXIT_DECISION,16,
,,,OWNER_R_EXIT_GIVEBACK_45,,,,false,,,,,,,,,10009,OWNER_R_EXIT_CLOSE_APPROVED,16,
,,,,,,,,0.300,,,0.415,,GENERAL,,,,OWNER_R_EXIT_FLOOR_ARMED,20,
,,,OWNER_R_EXIT_RUNNER_CONTINUATION_FAILED,,APPROVE,,false,,,,,,,,,,OWNER_R_EXIT_DECISION,20,
,,,OWNER_R_EXIT_RUNNER_CONTINUATION_FAILED,,,,false,,,,,,,,,10009,OWNER_R_EXIT_CLOSE_APPROVED,20,
,,,,,,,,0.300,,,0.401,,GENERAL,,,,OWNER_R_EXIT_FLOOR_ARMED,22,
,,,,,,,,,,0.350,0.500,0.300,GENERAL,,,,OWNER_R_EXIT_FLOOR_RATCHET,22,
,,,,,,,,,,0.351,0.501,0.350,GENERAL,,,,OWNER_R_EXIT_FLOOR_RATCHET,22,
,,,,,,,,,,0.352,0.503,0.351,GENERAL,,,,OWNER_R_EXIT_FLOOR_RATCHET,22,
,,,,,,,,,,0.353,0.505,0.352,GENERAL,,,,OWNER_R_EXIT_FLOOR_RATCHET,22,
,,,,,,,,,,0.354,0.506,0.353,GENERAL,,,,OWNER_R_EXIT_FLOOR_RATCHET,22,
,,,,,,,,,,0.361,0.516,0.354,GENERAL,,,,OWNER_R_EXIT_FLOOR_RATCHET,22,
,,,,,,,,,,0.361,0.516,0.361,GENERAL,,,,OWNER_R_EXIT_FLOOR_RATCHET,22,
,,,,,,,,,,0.362,0.517,0.361,GENERAL,,,,OWNER_R_EXIT_FLOOR_RATCHET,22,
,,,,,,,,,,0.362,0.517,0.362,GENERAL,,,,OWNER_R_EXIT_FLOOR_RATCHET,22,
,,,,,,,,,,0.368,0.525,0.362,GENERAL,,,,OWNER_R_EXIT_FLOOR_RATCHET,22,
,,,,,,,,,,0.368,0.526,0.368,GENERAL,,,,OWNER_R_EXIT_FLOOR_RATCHET,22,
,,,,,,,,,,0.368,0.526,0.368,GENERAL,,,,OWNER_R_EXIT_FLOOR_RATCHET,22,
,,,,,,,,,,0.370,0.529,0.368,GENERAL,,,,OWNER_R_EXIT_FLOOR_RATCHET,22,
,,,,,,,,,,0.371,0.530,0.370,GENERAL,,,,OWNER_R_EXIT_FLOOR_RATCHET,22,
,,,,,,,,,,0.378,0.540,0.371,GENERAL,,,,OWNER_R_EXIT_FLOOR_RATCHET,22,
,,,,,,,,,,0.378,0.540,0.378,GENERAL,,,,OWNER_R_EXIT_FLOOR_RATCHET,22,
,,,,,,,,,,0.379,0.542,0.378,GENERAL,,,,OWNER_R_EXIT_FLOOR_RATCHET,22,
,,,,,,,,,,0.379,0.542,0.379,GENERAL,,,,OWNER_R_EXIT_FLOOR_RATCHET,22,
,,,,,,,,,,0.384,0.548,0.379,GENERAL,,,,OWNER_R_EXIT_FLOOR_RATCHET,22,
,,,,,,,,,,0.384,0.549,0.384,GENERAL,,,,OWNER_R_EXIT_FLOOR_RATCHET,22,
,,,,,,,,,,0.386,0.551,0.384,GENERAL,,,,OWNER_R_EXIT_FLOOR_RATCHET,22,
