m10_candle_close_time,scan_ran,process_count,indicator_readiness,setup_scores,buy_score,sell_score,preferred_direction,setup_selected,candidate_created,candidate_not_created_reason,grade,session,regime,location,m10_decision,transition_state,permanent_block_result,owner_location_block_result,normal_gate_result,execution_timer_result,order_send_result,broker_retcode,evidence_id,freshness,data_state
2026.07.27 01:10:00,NO,0,NOT_EVALUATED,NOT_EVALUATED,,,,NONE,NO,EA_NOT_ATTACHED,NOT_CLASSIFIED,ASIA,NOT_CLASSIFIED,NOT_CLASSIFIED,NOT_EVALUATED,NOT_EVALUATED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_STARTED,NOT_REACHED,NOT_ATTEMPTED,,,
2026.07.27 01:20:00,NO,0,NOT_EVALUATED,NOT_EVALUATED,,,,NONE,NO,EA_NOT_ATTACHED,NOT_CLASSIFIED,ASIA,NOT_CLASSIFIED,NOT_CLASSIFIED,NOT_EVALUATED,NOT_EVALUATED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_STARTED,NOT_REACHED,NOT_ATTEMPTED,,,
2026.07.27 01:30:00,NO,0,NOT_EVALUATED,NOT_EVALUATED,,,,NONE,NO,EA_NOT_ATTACHED,NOT_CLASSIFIED,ASIA,NOT_CLASSIFIED,NOT_CLASSIFIED,NOT_EVALUATED,NOT_EVALUATED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_STARTED,NOT_REACHED,NOT_ATTEMPTED,,,
2026.07.27 01:40:00,NO,0,NOT_EVALUATED,NOT_EVALUATED,,,,NONE,NO,EA_NOT_ATTACHED,NOT_CLASSIFIED,ASIA,NOT_CLASSIFIED,NOT_CLASSIFIED,NOT_EVALUATED,NOT_EVALUATED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_STARTED,NOT_REACHED,NOT_ATTEMPTED,,,
2026.07.27 01:50:00,NO,0,NOT_EVALUATED,NOT_EVALUATED,,,,NONE,NO,EA_NOT_ATTACHED,NOT_CLASSIFIED,ASIA,NOT_CLASSIFIED,NOT_CLASSIFIED,NOT_EVALUATED,NOT_EVALUATED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_STARTED,NOT_REACHED,NOT_ATTEMPTED,,,
2026.07.27 02:00:00,NO,0,NOT_EVALUATED,NOT_EVALUATED,,,,NONE,NO,EA_NOT_ATTACHED,NOT_CLASSIFIED,ASIA,NOT_CLASSIFIED,NOT_CLASSIFIED,NOT_EVALUATED,NOT_EVALUATED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_STARTED,NOT_REACHED,NOT_ATTEMPTED,,,
2026.07.27 02:10:00,NO,0,NOT_EVALUATED,NOT_EVALUATED,,,,NONE,NO,EA_NOT_ATTACHED,NOT_CLASSIFIED,ASIA,NOT_CLASSIFIED,NOT_CLASSIFIED,NOT_EVALUATED,NOT_EVALUATED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_STARTED,NOT_REACHED,NOT_ATTEMPTED,,,
2026.07.27 02:20:00,NO,0,NOT_EVALUATED,NOT_EVALUATED,,,,NONE,NO,EA_NOT_ATTACHED,NOT_CLASSIFIED,ASIA,NOT_CLASSIFIED,NOT_CLASSIFIED,NOT_EVALUATED,NOT_EVALUATED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_STARTED,NOT_REACHED,NOT_ATTEMPTED,,,
2026.07.27 02:30:00,NO,0,NOT_EVALUATED,NOT_EVALUATED,,,,NONE,NO,EA_NOT_ATTACHED,NOT_CLASSIFIED,ASIA,NOT_CLASSIFIED,NOT_CLASSIFIED,NOT_EVALUATED,NOT_EVALUATED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_STARTED,NOT_REACHED,NOT_ATTEMPTED,,,
2026.07.27 02:40:00,NO,0,NOT_EVALUATED,NOT_EVALUATED,,,,NONE,NO,EA_NOT_ATTACHED,NOT_CLASSIFIED,ASIA,NOT_CLASSIFIED,NOT_CLASSIFIED,NOT_EVALUATED,NOT_EVALUATED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_STARTED,NOT_REACHED,NOT_ATTEMPTED,,,
2026.07.27 02:50:00,NO,0,NOT_EVALUATED,NOT_EVALUATED,,,,NONE,NO,EA_NOT_ATTACHED,NOT_CLASSIFIED,ASIA,NOT_CLASSIFIED,NOT_CLASSIFIED,NOT_EVALUATED,NOT_EVALUATED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_STARTED,NOT_REACHED,NOT_ATTEMPTED,,,
2026.07.27 03:00:00,NO,0,NOT_EVALUATED,NOT_EVALUATED,,,,NONE,NO,EA_NOT_ATTACHED,NOT_CLASSIFIED,ASIA,NOT_CLASSIFIED,NOT_CLASSIFIED,NOT_EVALUATED,NOT_EVALUATED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_STARTED,NOT_REACHED,NOT_ATTEMPTED,,,
2026.07.27 03:10:00,NO,0,NOT_EVALUATED,NOT_EVALUATED,,,,NONE,NO,EA_NOT_ATTACHED,NOT_CLASSIFIED,ASIA,NOT_CLASSIFIED,NOT_CLASSIFIED,NOT_EVALUATED,NOT_EVALUATED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_STARTED,NOT_REACHED,NOT_ATTEMPTED,,,
2026.07.27 03:20:00,NO,0,NOT_EVALUATED,NOT_EVALUATED,,,,NONE,NO,EA_NOT_ATTACHED,NOT_CLASSIFIED,ASIA,NOT_CLASSIFIED,NOT_CLASSIFIED,NOT_EVALUATED,NOT_EVALUATED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_STARTED,NOT_REACHED,NOT_ATTEMPTED,,,
2026.07.27 03:30:00,NO,0,NOT_EVALUATED,NOT_EVALUATED,,,,NONE,NO,EA_NOT_ATTACHED,NOT_CLASSIFIED,ASIA,NOT_CLASSIFIED,NOT_CLASSIFIED,NOT_EVALUATED,NOT_EVALUATED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_STARTED,NOT_REACHED,NOT_ATTEMPTED,,,
2026.07.27 03:40:00,NO,0,NOT_EVALUATED,NOT_EVALUATED,,,,NONE,NO,EA_NOT_ATTACHED,NOT_CLASSIFIED,ASIA,NOT_CLASSIFIED,NOT_CLASSIFIED,NOT_EVALUATED,NOT_EVALUATED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_STARTED,NOT_REACHED,NOT_ATTEMPTED,,,
