server_time,candidate_id,direction,setup,grade,price,reason_group,reason_key,checkpoint_min,max_favorable_atr,max_adverse_atr
2026-07-14 15:00:05,1784041205_BUY_TREND_PULLBACK_BAD-LOCATION BLOCK,BUY,TREND_PULLBACK,A,4085.28,LOCATION_BLOCK,BAD-LOCATION BLOCK,30,1.24,0.07
2026-07-14 15:10:20,1784041820_BUY_BREAKOUT_STI_REENTRY_WAIT,BUY,BREAKOUT,A,4096.773,RESET_NOT_CONFIRMED,STI_REENTRY_WAIT,15,0.0,1.32
2026-07-14 15:15:05,1784042105_BUY_TREND_PULLBACK_CALIBRATED_ENTRY_QUALITY,BUY,TREND_PULLBACK,B,4089.651,QUALITY_BLOCK,CALIBRATED_ENTRY_QUALITY,15,0.0,0.54
2026-07-14 15:25:10,1784042710_BUY_TREND_PULLBACK_TREND-CONTINUATION MODE,BUY,TREND_PULLBACK,B,4086.036,CONTINUATION_QUALIFICATION_BLOCK,TREND-CONTINUATION MODE,5,0.0,0.16
